"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 03 10:36:32 GMT 2022","Mon Jan 03 10:36:36 GMT 2022","3476","chromium","login.spec.ts","Login Tests","","","Sign In Test",""
"passed","Mon Jan 03 10:36:44 GMT 2022","Mon Jan 03 10:36:48 GMT 2022","3302","webkit","login.spec.ts","Login Tests","","","Sign Up Test",""
"passed","Mon Jan 03 10:36:36 GMT 2022","Mon Jan 03 10:36:40 GMT 2022","3684","chromium","login.spec.ts","Login Tests","","","Sign Up Test",""
"passed","Mon Jan 03 10:36:33 GMT 2022","Mon Jan 03 10:36:40 GMT 2022","7932","firefox","login.spec.ts","Login Tests","","","Sign In Test",""
"passed","Mon Jan 03 10:36:40 GMT 2022","Mon Jan 03 10:36:44 GMT 2022","3327","firefox","login.spec.ts","Login Tests","","","Sign Up Test",""
"passed","Mon Jan 03 10:36:33 GMT 2022","Mon Jan 03 10:36:44 GMT 2022","11655","webkit","login.spec.ts","Login Tests","","","Sign In Test",""
